"symbol"	"ensembl"	"cluster"
"7026"	"PCNXL3"	"ENSG00000197136.4"	7
"7027"	"MAB21L3"	"ENSG00000173212.4"	8
"7028"	"UBXN1"	"ENSG00000162191.9"	2
"7029"	"MAPK1"	"ENSG00000100030.10"	118
"7030"	"MED15"	"ENSG00000099917.13"	1
"7031"	"MAP2K5"	"ENSG00000137764.15"	18
"7032"	"ALG14"	"ENSG00000172339.7"	2
"7033"	"HIGD2A"	"ENSG00000146066.2"	6
"7034"	"C4orf33"	"ENSG00000151470.7"	126
"7035"	"MLYCD"	"ENSG00000103150.4"	109
"7036"	"LAIR1"	"ENSG00000167613.9"	116
"7037"	"EPHA10"	"ENSG00000183317.11"	12
"7038"	"RPS25"	"ENSG00000118181.5"	113
"7039"	"SLC29A1"	"ENSG00000112759.12"	23
"7040"	"RGS3"	"ENSG00000138835.17"	114
"7041"	"NSDHL"	"ENSG00000147383.6"	126
"7042"	"PCF11"	"ENSG00000165494.5"	106
"7043"	"GEM"	"ENSG00000164949.3"	115
"7044"	"ATP6V0C"	"ENSG00000185883.5"	23
"7045"	"AC005306.3"	"ENSG00000267283.1"	6
"7046"	"RBMS2"	"ENSG00000076067.6"	113
"7047"	"CDA"	"ENSG00000158825.5"	109
"7048"	"OLA1"	"ENSG00000138430.11"	131
"7049"	"C14orf118"	"ENSG00000089916.13"	111
"7050"	"C17orf103"	"ENSG00000154035.6"	114
"7051"	"AC004540.5"	"ENSG00000214870.4"	21
"7052"	"RP11-92G12.3"	"ENSG00000260088.1"	2
"7053"	"ZNF383"	"ENSG00000188283.7"	121
"7054"	"CRHBP"	"ENSG00000145708.6"	160
"7055"	"HMGCS1"	"ENSG00000112972.10"	123
"7056"	"ZFPM2"	"ENSG00000169946.9"	125
"7057"	"VAV2"	"ENSG00000160293.12"	113
"7058"	"DDX17"	"ENSG00000100201.14"	111
"7059"	"MTFMT"	"ENSG00000103707.5"	1
"7060"	"ALG2"	"ENSG00000119523.8"	117
"7061"	"MPV17L"	"ENSG00000156968.7"	2
"7062"	"GALNTL5"	"ENSG00000106648.8"	17
"7063"	"M6PR"	"ENSG00000003056.3"	3
"7064"	"PURB"	"ENSG00000146676.5"	19
"7065"	"SLC24A4"	"ENSG00000140090.13"	125
"7066"	"MTMR1"	"ENSG00000063601.12"	122
"7067"	"RAB40B"	"ENSG00000141542.6"	118
"7068"	"PIGU"	"ENSG00000101464.6"	3
"7069"	"SLITRK1"	"ENSG00000178235.6"	21
"7070"	"ZNF516"	"ENSG00000101493.6"	108
"7071"	"BZRAP1"	"ENSG00000005379.11"	2
"7072"	"RASGRF2"	"ENSG00000113319.7"	23
"7073"	"SMAP2"	"ENSG00000084070.6"	23
"7074"	"ERC1"	"ENSG00000082805.14"	7
"7075"	"CPNE3"	"ENSG00000085719.7"	107
"7076"	"DHRS3"	"ENSG00000162496.4"	108
"7077"	"ZNF576"	"ENSG00000124444.10"	119
"7078"	"GPR155"	"ENSG00000163328.9"	16
"7079"	"CACNA1E"	"ENSG00000198216.6"	21
"7080"	"LINC00634"	"ENSG00000205704.5"	1
"7081"	"GLT25D2"	"ENSG00000198756.6"	3
"7082"	"ZNF419"	"ENSG00000105136.14"	8
"7083"	"ABCD4"	"ENSG00000119688.15"	5
"7084"	"C1orf122"	"ENSG00000197982.10"	110
"7085"	"PIAS2"	"ENSG00000078043.11"	133
"7086"	"PMM2"	"ENSG00000140650.7"	2
"7087"	"WASF2"	"ENSG00000158195.6"	114
"7088"	"RANBP3"	"ENSG00000031823.10"	119
"7089"	"PLEKHJ1"	"ENSG00000104886.4"	1
"7090"	"PPDPF"	"ENSG00000125534.4"	2
"7091"	"TRMT1"	"ENSG00000104907.8"	6
"7092"	"ARMCX5"	"ENSG00000125962.7"	23
"7093"	"PCTP"	"ENSG00000141179.8"	107
"7094"	"PNMA3"	"ENSG00000183837.8"	13
"7095"	"PHLDA1"	"ENSG00000139289.8"	118
"7096"	"CBFA2T2"	"ENSG00000078699.16"	119
"7097"	"GSTM5"	"ENSG00000134201.5"	106
"7098"	"TMEM183A"	"ENSG00000163444.7"	119
"7099"	"HMGN3"	"ENSG00000118418.10"	108
"7100"	"EXOG"	"ENSG00000157036.8"	13
"7101"	"DDN"	"ENSG00000181418.7"	16
"7102"	"NSF"	"ENSG00000073969.13"	187
"7103"	"FASTKD5"	"ENSG00000215251.3"	119
"7104"	"SLC43A3"	"ENSG00000134802.12"	116
"7105"	"RBM41"	"ENSG00000089682.12"	9
"7106"	"SLC35A5"	"ENSG00000138459.4"	121
"7107"	"ZFYVE20"	"ENSG00000131381.8"	121
"7108"	"RP11-285F7.2"	"ENSG00000242861.1"	2
"7109"	"ANKRD19P"	"ENSG00000187984.7"	14
"7110"	"SLC6A9"	"ENSG00000196517.7"	109
"7111"	"APOM"	"ENSG00000204444.6"	2
"7112"	"BRCC3"	"ENSG00000185515.10"	125
"7113"	"PHF20L1"	"ENSG00000129292.15"	9
"7114"	"GABBR2"	"ENSG00000136928.4"	16
"7115"	"WDR11"	"ENSG00000120008.10"	122
"7116"	"SLC35B2"	"ENSG00000157593.12"	106
"7117"	"PNCK"	"ENSG00000130822.10"	12
"7118"	"BTBD3"	"ENSG00000132640.10"	125
"7119"	"TCEAL3"	"ENSG00000196507.6"	11
"7120"	"RNU1-2"	"ENSG00000207005.1"	124
"7121"	"NCAPD3"	"ENSG00000151503.7"	118
"7122"	"ATPAF1"	"ENSG00000123472.8"	107
"7123"	"NDUFB7"	"ENSG00000099795.1"	1
"7124"	"SURF2"	"ENSG00000148291.5"	1
"7125"	"PCNT"	"ENSG00000160299.12"	233
"7126"	"PAICS"	"ENSG00000128050.4"	107
"7127"	"TMEM165"	"ENSG00000134851.7"	110
"7128"	"CTB-43E15.4"	"ENSG00000254211.1"	5
"7129"	"CASC4"	"ENSG00000166734.13"	107
"7130"	"CWC25"	"ENSG00000108296.6"	10
"7131"	"SLC9A3R2"	"ENSG00000065054.8"	109
"7132"	"KCNJ9"	"ENSG00000162728.4"	17
"7133"	"TMEM47"	"ENSG00000147027.3"	107
"7134"	"CTC-360G5.1"	"ENSG00000262484.1"	4
"7135"	"RP11-33B1.1"	"ENSG00000245958.2"	122
"7136"	"FBRS"	"ENSG00000156860.10"	6
"7137"	"CAPN1"	"ENSG00000014216.10"	1
"7138"	"ADO"	"ENSG00000181915.3"	125
"7139"	"PCYT1B"	"ENSG00000102230.8"	108
"7140"	"ATP6V1F"	"ENSG00000128524.4"	14
"7141"	"RBPMS2"	"ENSG00000166831.4"	109
"7142"	"AMFR"	"ENSG00000159461.10"	123
"7143"	"RPL5"	"ENSG00000122406.7"	116
"7144"	"RP11-797H7.3"	"ENSG00000213640.3"	4
"7145"	"LRRC20"	"ENSG00000172731.9"	12
"7146"	"NDUFA9"	"ENSG00000139180.5"	1
"7147"	"DNALI1"	"ENSG00000163879.8"	108
"7148"	"PRSS27"	"ENSG00000172382.5"	2
"7149"	"PAPD5"	"ENSG00000121274.8"	17
"7150"	"ORAOV1"	"ENSG00000149716.7"	4
"7151"	"SNX5"	"ENSG00000089006.11"	107
"7152"	"MNS1"	"ENSG00000138587.5"	8
"7153"	"RBM34"	"ENSG00000188739.10"	101
"7154"	"C1orf204"	"ENSG00000188004.5"	13
"7155"	"KIF3C"	"ENSG00000084731.9"	119
"7156"	"HLA-C"	"ENSG00000204525.8"	116
"7157"	"SALL3"	"ENSG00000256463.4"	109
"7158"	"SNCB"	"ENSG00000074317.6"	14
"7159"	"STAT2"	"ENSG00000170581.8"	107
"7160"	"SLC9A9"	"ENSG00000181804.10"	113
"7161"	"TK2"	"ENSG00000166548.11"	108
"7162"	"BHLHE41"	"ENSG00000123095.5"	111
"7163"	"ADAT3"	"ENSG00000213638.3"	5
"7164"	"HIST2H4B"	"ENSG00000182217.7"	114
"7165"	"ERCC3"	"ENSG00000163161.8"	122
"7166"	"MAP4K4"	"ENSG00000071054.10"	110
"7167"	"VRK1"	"ENSG00000100749.3"	1
"7168"	"FSTL3"	"ENSG00000070404.4"	5
"7169"	"ERF"	"ENSG00000105722.4"	5
"7170"	"PRELID1"	"ENSG00000169230.5"	98
"7171"	"NPHP4"	"ENSG00000131697.13"	12
"7172"	"ZNF334"	"ENSG00000198185.6"	122
"7173"	"CDKN2C"	"ENSG00000123080.6"	109
"7174"	"PCMT1"	"ENSG00000120265.12"	126
"7175"	"RP11-999E24.3"	"ENSG00000259969.1"	3
"7176"	"CD3EAP"	"ENSG00000117877.6"	10
"7177"	"TRIM62"	"ENSG00000116525.8"	110
"7178"	"LRRC27"	"ENSG00000148814.13"	1
"7179"	"IGDCC4"	"ENSG00000103742.7"	107
"7180"	"MED28"	"ENSG00000118579.6"	118
"7181"	"RP11-357K6.1"	"ENSG00000255618.1"	1
"7182"	"ATAT1"	"ENSG00000137343.12"	13
"7183"	"EBF4"	"ENSG00000088881.14"	5
"7184"	"RAI14"	"ENSG00000039560.9"	110
"7185"	"PPP2R3B-AS1"	"ENSG00000226179.1"	10
"7186"	"DISP2"	"ENSG00000140323.4"	4
"7187"	"C9orf123"	"ENSG00000137038.7"	13
"7188"	"CPEB3"	"ENSG00000107864.8"	118
"7189"	"RAB5B"	"ENSG00000111540.10"	121
"7190"	"RP11-323F24.1"	"ENSG00000259484.1"	119
"7191"	"DAPK1"	"ENSG00000196730.8"	125
"7192"	"MC1R"	"ENSG00000258839.2"	17
"7193"	"RP11-884K10.5"	"ENSG00000113811.6"	113
"7194"	"COL24A1"	"ENSG00000171502.10"	22
"7195"	"BAMBI"	"ENSG00000095739.7"	113
"7196"	"KIAA0247"	"ENSG00000100647.7"	113
"7197"	"PRRG3"	"ENSG00000130032.11"	22
"7198"	"TMEM25"	"ENSG00000149582.10"	16
"7199"	"AC005943.2"	"ENSG00000267059.1"	8
"7200"	"PDCD7"	"ENSG00000090470.10"	10
"7201"	"UBE2R2"	"ENSG00000107341.4"	9
"7202"	"KIAA1009"	"ENSG00000135315.7"	109
"7203"	"MOAP1"	"ENSG00000165943.4"	128
"7204"	"RP11-243J18.3"	"ENSG00000203761.4"	257
"7205"	"GATS"	"ENSG00000239521.2"	2
"7206"	"SSH3"	"ENSG00000172830.8"	5
"7207"	"TOMM5"	"ENSG00000175768.8"	126
"7208"	"GPR89C"	"ENSG00000196644.8"	4
"7209"	"ATXN3"	"ENSG00000066427.16"	9
"7210"	"PTPN21"	"ENSG00000070778.8"	111
"7211"	"IFI35"	"ENSG00000068079.3"	115
"7212"	"NBPF14"	"ENSG00000122497.11"	107
"7213"	"BMP1"	"ENSG00000168487.13"	5
"7214"	"PLA2G4B"	"ENSG00000243708.2"	6
"7215"	"PHLPP2"	"ENSG00000040199.14"	125
"7216"	"DHX40"	"ENSG00000108406.5"	118
"7217"	"NTHL1"	"ENSG00000065057.2"	1
"7218"	"PSMC6"	"ENSG00000100519.6"	127
"7219"	"TMEM119"	"ENSG00000183160.8"	116
"7220"	"C14orf132"	"ENSG00000227051.4"	4
"7221"	"PREX2"	"ENSG00000046889.14"	107
"7222"	"SFTPC"	"ENSG00000168484.8"	6
"7223"	"CCDC99"	"ENSG00000040275.12"	121
"7224"	"DCAF5"	"ENSG00000139990.13"	113
"7225"	"ATRN"	"ENSG00000088812.13"	125
"7226"	"GRIP2"	"ENSG00000144596.7"	16
"7227"	"FITM2"	"ENSG00000197296.5"	119
"7228"	"CLK4"	"ENSG00000113240.8"	122
"7229"	"PLEKHG3"	"ENSG00000126822.11"	110
"7230"	"ARGLU1"	"ENSG00000134884.9"	111
"7231"	"NPRL3"	"ENSG00000103148.9"	7
"7232"	"FAM118A"	"ENSG00000100376.7"	109
"7233"	"B3GALNT2"	"ENSG00000162885.7"	121
"7234"	"LCP1"	"ENSG00000136167.8"	116
"7235"	"EMID2"	"ENSG00000160963.9"	16
"7236"	"GRIN2A"	"ENSG00000183454.9"	22
"7237"	"FRAT1"	"ENSG00000165879.7"	7
"7238"	"FBLN1"	"ENSG00000077942.13"	107
"7239"	"COL12A1"	"ENSG00000111799.16"	13
"7240"	"NBPF10"	"ENSG00000163386.14"	108
"7241"	"CASKIN2"	"ENSG00000177303.5"	108
"7242"	"UGP2"	"ENSG00000169764.10"	126
"7243"	"S100PBP"	"ENSG00000116497.13"	110
"7244"	"TOX4"	"ENSG00000092203.8"	194
"7245"	"NKX2-2"	"ENSG00000125820.5"	109
"7246"	"ITPK1"	"ENSG00000100605.11"	109
"7247"	"RP11-347C12.2"	"ENSG00000183604.9"	106
"7248"	"RPL13AP2"	"ENSG00000244053.1"	4
"7249"	"EXOC2"	"ENSG00000112685.8"	117
"7250"	"DUSP3"	"ENSG00000108861.4"	19
"7251"	"TPRKB"	"ENSG00000144034.10"	126
"7252"	"TSC22D3"	"ENSG00000157514.12"	109
"7253"	"YOD1"	"ENSG00000180667.6"	117
"7254"	"TMEM221"	"ENSG00000188051.5"	18
"7255"	"CHI3L1"	"ENSG00000133048.8"	115
"7256"	"SLC12A4"	"ENSG00000124067.12"	107
"7257"	"NBR2"	"ENSG00000198496.6"	6
"7258"	"ZDHHC3"	"ENSG00000163812.9"	117
"7259"	"STAT5B"	"ENSG00000173757.4"	111
"7260"	"ZNF518B"	"ENSG00000178163.3"	119
"7261"	"DHRSX"	"ENSG00000169084.8"	114
"7262"	"ANKRD13A"	"ENSG00000076513.11"	110
"7263"	"SCARB2"	"ENSG00000138760.4"	121
"7264"	"CSDE1"	"ENSG00000009307.11"	121
"7265"	"UBE2H"	"ENSG00000186591.7"	107
"7266"	"ZC3H15"	"ENSG00000065548.13"	21
"7267"	"ZNF432"	"ENSG00000256087.1"	122
"7268"	"CBR3"	"ENSG00000159231.5"	2
"7269"	"CIRH1A"	"ENSG00000141076.12"	22
"7270"	"C1QTNF3"	"ENSG00000082196.15"	110
"7271"	"UNC119"	"ENSG00000109103.7"	49
"7272"	"RP11-392E22.5"	"ENSG00000250989.1"	5
"7273"	"TMEM106C"	"ENSG00000134291.7"	117
"7274"	"C5orf54"	"ENSG00000221886.3"	117
"7275"	"CDKN3"	"ENSG00000100526.14"	14
"7276"	"KANK1"	"ENSG00000107104.13"	108
"7277"	"SMYD2"	"ENSG00000143499.9"	22
"7278"	"MAP4K1"	"ENSG00000104814.8"	5
"7279"	"DCTD"	"ENSG00000129187.10"	122
"7280"	"BAIAP2L2"	"ENSG00000128298.12"	12
"7281"	"C6orf57"	"ENSG00000154079.5"	13
"7282"	"MAF"	"ENSG00000178573.6"	109
"7283"	"XXbac-B135H6.15"	"ENSG00000237476.1"	13
"7284"	"PARP3"	"ENSG00000041880.10"	106
"7285"	"LDLRAD3"	"ENSG00000179241.8"	113
"7286"	"UXT"	"ENSG00000126756.7"	114
"7287"	"NUP188"	"ENSG00000095319.9"	108
"7288"	"ARF6"	"ENSG00000165527.5"	118
"7289"	"PDZD11"	"ENSG00000120509.6"	122
"7290"	"SSBP1"	"ENSG00000106028.6"	122
"7291"	"SYCE1"	"ENSG00000171772.10"	13
"7292"	"UBE2S"	"ENSG00000108106.9"	19
"7293"	"SLC27A5"	"ENSG00000083807.4"	4
"7294"	"DIEXF"	"ENSG00000117597.12"	117
"7295"	"PHF6"	"ENSG00000156531.12"	118
"7296"	"ROGDI"	"ENSG00000067836.8"	16
"7297"	"KITLG"	"ENSG00000049130.8"	125
"7298"	"PRTFDC1"	"ENSG00000099256.13"	106
"7299"	"HARS2"	"ENSG00000112855.10"	122
"7300"	"C9orf72"	"ENSG00000147894.10"	127
"7301"	"NEK9"	"ENSG00000119638.8"	107
"7302"	"ZNF582-AS1"	"ENSG00000267454.1"	40
"7303"	"NBEAL2"	"ENSG00000160796.11"	5
"7304"	"LURAP1"	"ENSG00000171357.5"	125
"7305"	"IFNGR1"	"ENSG00000027697.8"	113
"7306"	"ABHD14B"	"ENSG00000114779.15"	2
"7307"	"CLN6"	"ENSG00000128973.7"	1
"7308"	"IMP4"	"ENSG00000136718.5"	13
"7309"	"RP5-1142A6.3"	"ENSG00000260630.1"	18
"7310"	"CSTF1"	"ENSG00000101138.7"	126
"7311"	"SLC15A4"	"ENSG00000139370.6"	106
"7312"	"FMN1"	"ENSG00000248905.4"	21
"7313"	"SLC25A17"	"ENSG00000100372.10"	14
"7314"	"SEC23B"	"ENSG00000101310.10"	123
"7315"	"HAUS1"	"ENSG00000152240.6"	106
"7316"	"RBX1"	"ENSG00000100387.8"	3
"7317"	"AKAP12"	"ENSG00000131016.12"	118
"7318"	"SCAMP5"	"ENSG00000198794.7"	16
"7319"	"TANC1"	"ENSG00000115183.9"	111
"7320"	"RPL13A"	"ENSG00000142541.11"	5
"7321"	"CADPS"	"ENSG00000163618.13"	21
"7322"	"ZNF263"	"ENSG00000006194.6"	119
"7323"	"CTD-3185P2.1"	"ENSG00000261351.1"	2
"7324"	"PSD3"	"ENSG00000156011.12"	125
"7325"	"RP11-687F6.1"	"ENSG00000267167.1"	8
"7326"	"IST1"	"ENSG00000182149.14"	113
"7327"	"GSN"	"ENSG00000148180.10"	112
"7328"	"CAD"	"ENSG00000084774.8"	2
"7329"	"AC024560.3"	"ENSG00000214135.4"	121
"7330"	"ABCF1"	"ENSG00000204574.7"	9
"7331"	"CCNH"	"ENSG00000134480.9"	13
"7332"	"AC007383.3"	"ENSG00000227946.1"	106
"7333"	"KCTD15"	"ENSG00000153885.9"	107
"7334"	"TMX4"	"ENSG00000125827.4"	21
"7335"	"ABCE1"	"ENSG00000164163.6"	121
"7336"	"MARK2"	"ENSG00000072518.15"	4
"7337"	"SCAND2"	"ENSG00000176700.15"	106
"7338"	"CSNK2B"	"ENSG00000204435.8"	106
"7339"	"ENTPD3-AS1"	"ENSG00000223797.1"	109
"7340"	"PTN"	"ENSG00000105894.7"	107
"7341"	"CELF3"	"ENSG00000159409.10"	16
"7342"	"RBPJ"	"ENSG00000168214.16"	8
"7343"	"SYT12"	"ENSG00000173227.9"	12
"7344"	"RAB9B"	"ENSG00000123570.3"	21
"7345"	"RP11-826N14.2"	"ENSG00000248469.1"	22
"7346"	"KPTN"	"ENSG00000118162.8"	6
"7347"	"INTS6"	"ENSG00000102786.9"	117
"7348"	"VPS29"	"ENSG00000111237.12"	123
"7349"	"DUSP8"	"ENSG00000184545.6"	16
"7350"	"TBCD"	"ENSG00000141556.15"	4
"7351"	"SWI5"	"ENSG00000175854.6"	114
"7352"	"ARID4B"	"ENSG00000054267.16"	9
"7353"	"LPP"	"ENSG00000145012.8"	114
"7354"	"PTCH2"	"ENSG00000117425.9"	4
"7355"	"CNNM4"	"ENSG00000158158.7"	13
"7356"	"ZNF92"	"ENSG00000146757.9"	118
"7357"	"MARCH2"	"ENSG00000099785.5"	1
"7358"	"GAL3ST1"	"ENSG00000128242.8"	2
"7359"	"RP11-178F10.3"	"ENSG00000266489.1"	17
"7360"	"GABRA1"	"ENSG00000022355.10"	21
"7361"	"RP1-39G22.7"	"ENSG00000259943.1"	122
"7362"	"RP11-231E4.4"	"ENSG00000264247.1"	122
"7363"	"IDS"	"ENSG00000010404.13"	125
"7364"	"ANKRD46"	"ENSG00000186106.7"	187
"7365"	"SLC15A2"	"ENSG00000163406.6"	107
"7366"	"STAG1"	"ENSG00000118007.8"	109
"7367"	"SCHIP1"	"ENSG00000151967.14"	123
"7368"	"LRP2BP"	"ENSG00000109771.11"	257
"7369"	"CEP170"	"ENSG00000143702.11"	125
"7370"	"TTC9C"	"ENSG00000162222.8"	22
"7371"	"GDPD1"	"ENSG00000153982.6"	16
"7372"	"RP11-1391J7.1"	"ENSG00000250397.2"	4
"7373"	"ACBD6"	"ENSG00000135847.4"	13
"7374"	"GPC4"	"ENSG00000076716.7"	107
"7375"	"OSBPL9"	"ENSG00000117859.14"	106
"7376"	"NFE2L2"	"ENSG00000116044.11"	113
"7377"	"CCDC106"	"ENSG00000173581.3"	1
"7378"	"HENMT1"	"ENSG00000162639.11"	14
"7379"	"CBWD2"	"ENSG00000136682.10"	119
"7380"	"CTD-2574D22.4"	"ENSG00000260114.1"	130
"7381"	"PDK2"	"ENSG00000005882.6"	128
"7382"	"MAST4"	"ENSG00000069020.13"	1
"7383"	"ADAMTSL2"	"ENSG00000197859.5"	18
"7384"	"TBC1D3"	"ENSG00000197681.8"	3
"7385"	"RHOT1"	"ENSG00000126858.12"	117
"7386"	"FAM149B1"	"ENSG00000138286.9"	106
"7387"	"SRSF4"	"ENSG00000116350.10"	111
"7388"	"GLDC"	"ENSG00000178445.8"	123
"7389"	"IQCG"	"ENSG00000114473.9"	106
"7390"	"DAB2"	"ENSG00000153071.10"	116
"7391"	"EXOSC3"	"ENSG00000107371.7"	126
"7392"	"HMGN5"	"ENSG00000198157.6"	9
"7393"	"RP11-204M4.2"	"ENSG00000204837.2"	21
"7394"	"TAF2"	"ENSG00000064313.7"	121
"7395"	"DNAJB14"	"ENSG00000164031.12"	21
"7396"	"RP11-416I2.1"	"ENSG00000260328.1"	12
"7397"	"PRRT3"	"ENSG00000163704.7"	16
"7398"	"ZNF740"	"ENSG00000139651.8"	118
"7399"	"KCNA6"	"ENSG00000151079.6"	119
"7400"	"FAM156B"	"ENSG00000179304.12"	1
"7401"	"ASB3"	"ENSG00000115239.15"	107
"7402"	"CTBP2"	"ENSG00000175029.11"	111
"7403"	"CALM1"	"ENSG00000198668.6"	125
"7404"	"GDE1"	"ENSG00000006007.7"	119
"7405"	"KIAA1279"	"ENSG00000198954.4"	123
"7406"	"GPR85"	"ENSG00000164604.7"	127
"7407"	"POMP"	"ENSG00000132963.7"	123
"7408"	"PDGFB"	"ENSG00000100311.12"	7
"7409"	"RP11-34P13.11"	"ENSG00000237683.3"	5
"7410"	"ZNF44"	"ENSG00000197857.8"	106
"7411"	"FLOT1"	"ENSG00000137312.10"	28
"7412"	"GGA1"	"ENSG00000100083.14"	5
"7413"	"GLG1"	"ENSG00000090863.7"	107
"7414"	"COMMD6"	"ENSG00000188243.8"	113
"7415"	"TAX1BP3"	"ENSG00000213977.3"	108
"7416"	"LPAR6"	"ENSG00000139679.9"	116
"7417"	"LSM2"	"ENSG00000204392.5"	114
"7418"	"TSSC1"	"ENSG00000032389.8"	13
"7419"	"C8orf73"	"ENSG00000204839.4"	6
"7420"	"PHTF1"	"ENSG00000116793.11"	22
"7421"	"MTUS2"	"ENSG00000132938.14"	23
"7422"	"NPC2"	"ENSG00000119655.4"	116
"7423"	"HGSNAT"	"ENSG00000165102.10"	257
"7424"	"GLS2"	"ENSG00000135423.8"	14
"7425"	"ZNF33B"	"ENSG00000196693.9"	125
"7426"	"PNPT1"	"ENSG00000138035.9"	109
"7427"	"SPTB"	"ENSG00000070182.13"	16
"7428"	"RP13-259F12.2"	"ENSG00000260512.1"	22
"7429"	"GTF2A1"	"ENSG00000165417.7"	125
"7430"	"SNORD17"	"ENSG00000212232.1"	109
"7431"	"MTERFD2"	"ENSG00000122085.11"	121
"7432"	"FAM124A"	"ENSG00000150510.9"	110
"7433"	"ENPP4"	"ENSG00000001561.5"	118
"7434"	"PGD"	"ENSG00000142657.16"	117
"7435"	"ZNF37A"	"ENSG00000075407.11"	8
"7436"	"TOLLIP"	"ENSG00000078902.11"	18
"7437"	"YIF1A"	"ENSG00000174851.9"	2
"7438"	"TUBA1A"	"ENSG00000167552.8"	122
"7439"	"GIN1"	"ENSG00000145723.12"	126
"7440"	"VPS4B"	"ENSG00000119541.5"	122
"7441"	"C12orf52"	"ENSG00000139405.9"	18
"7442"	"NSMAF"	"ENSG00000035681.3"	122
"7443"	"ARPC4"	"ENSG00000241553.5"	1
"7444"	"NOLC1"	"ENSG00000166197.11"	125
"7445"	"FHL1"	"ENSG00000022267.12"	123
"7446"	"BOLA2B"	"ENSG00000169627.7"	8
"7447"	"NAAA"	"ENSG00000138744.9"	14
"7448"	"AGAP1"	"ENSG00000157985.12"	118
"7449"	"POLD2"	"ENSG00000106628.6"	108
"7450"	"NKAIN2"	"ENSG00000188580.9"	21
"7451"	"RPH3AL"	"ENSG00000181031.11"	18
"7452"	"NOXO1"	"ENSG00000196408.7"	1
"7453"	"RAB18"	"ENSG00000099246.11"	121
"7454"	"RNU1-3"	"ENSG00000207513.1"	124
"7455"	"NANOS3"	"ENSG00000187556.6"	4
"7456"	"PAK7"	"ENSG00000101349.12"	16
"7457"	"MYH9"	"ENSG00000100345.15"	113
"7458"	"TTLL12"	"ENSG00000100304.11"	16
"7459"	"CHRDL1"	"ENSG00000101938.10"	121
"7460"	"BTAF1"	"ENSG00000095564.9"	121
"7461"	"SHANK3"	"ENSG00000251322.3"	119
"7462"	"CNN2"	"ENSG00000064666.9"	114
"7463"	"CD53"	"ENSG00000143119.7"	117
"7464"	"NOMO1"	"ENSG00000103512.10"	14
"7465"	"CCDC146"	"ENSG00000135205.9"	8
"7466"	"TUBD1"	"ENSG00000108423.10"	4
"7467"	"ENDOG"	"ENSG00000167136.6"	14
"7468"	"WBSCR16"	"ENSG00000174374.9"	108
"7469"	"RSPH1"	"ENSG00000160188.5"	13
"7470"	"ZIC1"	"ENSG00000152977.5"	115
"7471"	"CHCHD5"	"ENSG00000125611.11"	257
"7472"	"SLC19A1"	"ENSG00000173638.14"	2
"7473"	"USP3"	"ENSG00000140455.12"	108
"7474"	"SAT2"	"ENSG00000141504.7"	4
"7475"	"WDR17"	"ENSG00000150627.10"	125
"7476"	"COMMD1"	"ENSG00000173163.6"	1
"7477"	"TRAF5"	"ENSG00000082512.10"	13
"7478"	"LRIG1"	"ENSG00000144749.9"	107
"7479"	"UBLCP1"	"ENSG00000164332.6"	13
"7480"	"C2orf56"	"ENSG00000003509.11"	23
"7481"	"ATXN7L1"	"ENSG00000146776.10"	23
"7482"	"FNDC4"	"ENSG00000115226.5"	12
"7483"	"GBA"	"ENSG00000177628.9"	1
"7484"	"C16orf5"	"ENSG00000089486.11"	18
"7485"	"AMH"	"ENSG00000104899.3"	4
"7486"	"CSNK1D"	"ENSG00000141551.10"	107
"7487"	"RP11-46C24.7"	"ENSG00000259877.1"	2
"7488"	"IGFLR1"	"ENSG00000126246.5"	5
"7489"	"ACBD4"	"ENSG00000181513.10"	2
"7490"	"RTN3"	"ENSG00000133318.9"	187
"7491"	"RP5-882C2.2"	"ENSG00000260793.2"	2
"7492"	"ZDHHC4"	"ENSG00000136247.10"	122
"7493"	"RPP40"	"ENSG00000124787.9"	14
"7494"	"NETO1"	"ENSG00000166342.14"	21
"7495"	"KBTBD11"	"ENSG00000176595.3"	121
"7496"	"RNF146"	"ENSG00000118518.10"	121
"7497"	"SPRED2"	"ENSG00000198369.5"	118
"7498"	"PRAGMIN"	"ENSG00000182319.5"	12
"7499"	"AEBP1"	"ENSG00000106624.4"	114
"7500"	"MRPL18"	"ENSG00000112110.5"	117
"7501"	"PLEKHB1"	"ENSG00000021300.7"	109
"7502"	"KCND2"	"ENSG00000184408.5"	21
"7503"	"DRP2"	"ENSG00000102385.8"	12
"7504"	"PXN-AS1"	"ENSG00000255857.1"	2
"7505"	"ABHD11"	"ENSG00000106077.14"	2
"7506"	"RAB9A"	"ENSG00000123595.5"	111
"7507"	"PGPEP1"	"ENSG00000130517.5"	5
"7508"	"SHPRH"	"ENSG00000146414.11"	9
"7509"	"RHOV"	"ENSG00000104140.6"	13
"7510"	"CYB5R1"	"ENSG00000159348.8"	106
"7511"	"USP32P1"	"ENSG00000188933.7"	125
"7512"	"ADPRM"	"ENSG00000170222.10"	126
"7513"	"KIF21A"	"ENSG00000139116.13"	21
"7514"	"FGF14"	"ENSG00000102466.10"	125
"7515"	"RAB22A"	"ENSG00000124209.3"	125
"7516"	"GLB1L"	"ENSG00000163521.11"	2
"7517"	"EYA3"	"ENSG00000158161.11"	117
"7518"	"EDC4"	"ENSG00000038358.10"	19
"7519"	"B4GALT4"	"ENSG00000121578.8"	11
